Entity;Day;Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned)
Canada;2020/01/09;0
Canada;2020/01/10;0
Canada;2020/01/11;0
Canada;2020/01/12;0
Canada;2020/01/13;0
Canada;2020/01/14;0
Canada;2020/01/15;0
Canada;2020/01/16;0
Canada;2020/01/17;0
Canada;2020/01/18;0
Canada;2020/01/19;0
Canada;2020/01/20;0
Canada;2020/01/21;0
Canada;2020/01/22;0
Canada;2020/01/23;0
Canada;2020/01/24;0
Canada;2020/01/25;0
Canada;2020/01/26;0
Canada;2020/01/27;0
Canada;2020/01/28;0
Canada;2020/01/29;0
Canada;2020/01/30;0
Canada;2020/01/31;0
Canada;2020/02/01;0
Canada;2020/02/02;0
Canada;2020/02/03;0
Canada;2020/02/04;0
Canada;2020/02/05;0
Canada;2020/02/06;0
Canada;2020/02/07;0
Canada;2020/02/08;0
Canada;2020/02/09;0
Canada;2020/02/10;0
Canada;2020/02/11;0
Canada;2020/02/12;0
Canada;2020/02/13;0
Canada;2020/02/14;0
Canada;2020/02/15;0
Canada;2020/02/16;0
Canada;2020/02/17;0
Canada;2020/02/18;0
Canada;2020/02/19;0
Canada;2020/02/20;0
Canada;2020/02/21;0
Canada;2020/02/22;0
Canada;2020/02/23;0
Canada;2020/02/24;0
Canada;2020/02/25;0
Canada;2020/02/26;0
Canada;2020/02/27;0
Canada;2020/02/28;0
Canada;2020/02/29;0
Canada;2020/03/01;0
Canada;2020/03/02;0
Canada;2020/03/03;0
Canada;2020/03/04;0
Canada;2020/03/05;0
Canada;2020/03/06;0
Canada;2020/03/07;0
Canada;2020/03/08;0
Canada;2020/03/09;0
Canada;2020/03/10;0.0036798688
Canada;2020/03/11;0.0036798688
Canada;2020/03/12;0.0036798688
Canada;2020/03/13;0.0036798688
Canada;2020/03/14;0.0036798688
Canada;2020/03/15;0.0036798688
Canada;2020/03/16;0.0036798688
Canada;2020/03/17;0
Canada;2020/03/18;0.011039606
Canada;2020/03/19;0.022079213
Canada;2020/03/20;0.025759082
Canada;2020/03/21;0.03311882
Canada;2020/03/22;0.03679869
Canada;2020/03/23;0.051518165
Canada;2020/03/24;0.051518165
Canada;2020/03/25;0.051518165
Canada;2020/03/26;0.044158425
Canada;2020/03/27;0.051518165
Canada;2020/03/28;0.051518165
Canada;2020/03/29;0.08831685
Canada;2020/03/30;0.09567659
Canada;2020/03/31;0.09935646
Canada;2020/04/01;0.13983501
Canada;2020/04/02;0.16191423
Canada;2020/04/03;0.18399344
Canada;2020/04/04;0.41950506
Canada;2020/04/05;0.55934006
Canada;2020/04/06;0.69917506
Canada;2020/04/07;0.8758088
Canada;2020/04/08;0.982525
Canada;2020/04/09;1.1628386
Canada;2020/04/10;1.3321126
Canada;2020/04/11;1.3615515
Canada;2020/04/12;1.40203
Canada;2020/04/13;1.5492249
Canada;2020/04/14;1.6044228
Canada;2020/04/15;1.6780202
Canada;2020/04/16;1.9245714
Canada;2020/04/17;2.1159246
Canada;2020/04/18;2.5133505
Canada;2020/04/19;2.7157433
Canada;2020/04/20;2.9880536
Canada;2020/04/21;3.1683671
Canada;2020/04/22;3.341321
Canada;2020/04/23;3.4185982
Canada;2020/04/24;3.5400338
Canada;2020/04/25;3.503235
Canada;2020/04/26;3.6541097
Canada;2020/04/27;3.6688292
Canada;2020/04/28;3.5989118
Canada;2020/04/29;3.7313871
Canada;2020/04/30;3.760826
Canada;2020/05/01;3.7497864
Canada;2020/05/02;3.8013046
Canada;2020/05/03;3.985298
Canada;2020/05/04;4.0294566
Canada;2020/05/05;4.106734
Canada;2020/05/06;4.20241
Canada;2020/05/07;4.3348856
Canada;2020/05/08;4.526239
Canada;2020/05/09;4.48576
Canada;2020/05/10;4.320166
Canada;2020/05/11;4.1324925
Canada;2020/05/12;4.3643246
Canada;2020/05/13;4.180331
Canada;2020/05/14;4.136173
Canada;2020/05/15;3.9301
Canada;2020/05/16;3.904341
Canada;2020/05/17;3.6430702
Canada;2020/05/18;3.620991
Canada;2020/05/19;3.3450007
Canada;2020/05/20;3.116849
Canada;2020/05/21;2.723103
Canada;2020/05/22;2.6679049
Canada;2020/05/23;2.498631
Canada;2020/05/24;2.52439
Canada;2020/05/25;2.4728718
Canada;2020/05/26;2.3477564
Canada;2020/05/27;2.5722284
Canada;2020/05/28;2.664225
Canada;2020/05/29;2.693664
Canada;2020/05/30;2.6568654
Canada;2020/05/31;2.6752646
Canada;2020/06/01;2.6421459
Canada;2020/06/02;3.2051659
Canada;2020/06/03;2.8739777
Canada;2020/06/04;2.781981
Canada;2020/06/05;2.6973438
Canada;2020/06/06;2.7967002
Canada;2020/06/07;2.664225
Canada;2020/06/08;2.5648687
Canada;2020/06/09;1.8436143
Canada;2020/06/10;1.8583338
Canada;2020/06/11;1.825215
Canada;2020/06/12;1.6743404
Canada;2020/06/13;1.291634
Canada;2020/06/14;1.2437956
Canada;2020/06/15;1.2106769
Canada;2020/06/16;1.2585151
Canada;2020/06/17;1.2364359
Canada;2020/06/18;1.1554788
Canada;2020/06/19;1.0782015
Canada;2020/06/20;1.1186801
Canada;2020/06/21;1.092921
Canada;2020/06/22;1.1113204
Canada;2020/06/23;1.0303633
Canada;2020/06/24;0.9457263
Canada;2020/06/25;0.8721289
Canada;2020/06/26;0.8279705
Canada;2020/06/27;0.7322939
Canada;2020/06/28;0.5777394
Canada;2020/06/29;0.37166676
Canada;2020/06/30;0.3311882
Canada;2020/07/01;0.4710232
Canada;2020/07/02;0.49310243
Canada;2020/07/03;0.39742583
Canada;2020/07/04;0.4967823
Canada;2020/07/05;0.55934006
Canada;2020/07/06;0.57405955
Canada;2020/07/07;0.58877903
Canada;2020/07/08;0.45998362
Canada;2020/07/09;0.4379044
Canada;2020/07/10;0.5225414
Canada;2020/07/11;0.3900661
Canada;2020/07/12;0.3532674
Canada;2020/07/13;0.36430702
Canada;2020/07/14;0.36430702
Canada;2020/07/15;0.3532674
Canada;2020/07/16;0.31646872
Canada;2020/07/17;0.26495057
Canada;2020/07/18;0.28702977
Canada;2020/07/19;0.29070964
Canada;2020/07/20;0.2723103
Canada;2020/07/21;0.2502311
Canada;2020/07/22;0.2502311
Canada;2020/07/23;0.2355116
Canada;2020/07/24;0.22079213
Canada;2020/07/25;0.17295384
Canada;2020/07/26;0.15455449
Canada;2020/07/27;0.13615514
Canada;2020/07/28;0.13615514
Canada;2020/07/29;0.15455449
Canada;2020/07/30;0.18031357
Canada;2020/07/31;0.1766337
Canada;2020/08/01;0.19871292
Canada;2020/08/02;0.19503304
Canada;2020/08/03;0.20239279
Canada;2020/08/04;0.20239279
Canada;2020/08/05;0.16927397
Canada;2020/08/06;0.16927397
Canada;2020/08/07;0.15823436
Canada;2020/08/08;0.13615514
Canada;2020/08/09;0.12879542
Canada;2020/08/10;0.12879542
Canada;2020/08/11;0.13247529
Canada;2020/08/12;0.14719476
Canada;2020/08/13;0.12143567
Canada;2020/08/14;0.16191423
Canada;2020/08/15;0.18031357
Canada;2020/08/16;0.18399344
Canada;2020/08/17;0.1766337
Canada;2020/08/18;0.1655941
Canada;2020/08/19;0.1655941
Canada;2020/08/20;0.19871292
Canada;2020/08/21;0.16191423
Canada;2020/08/22;0.14351489
Canada;2020/08/23;0.16191423
Canada;2020/08/24;0.17295384
Canada;2020/08/25;0.17295384
Canada;2020/08/26;0.18767332
Canada;2020/08/27;0.1655941
Canada;2020/08/28;0.16191423
Canada;2020/08/29;0.1766337
Canada;2020/08/30;0.18031357
Canada;2020/08/31;0.15455449
Canada;2020/09/01;0.16191423
Canada;2020/09/02;0.15823436
Canada;2020/09/03;0.15455449
Canada;2020/09/04;0.15087463
Canada;2020/09/05;0.14351489
Canada;2020/09/06;0.1067162
Canada;2020/09/07;0.11407594
Canada;2020/09/08;0.10303633
Canada;2020/09/09;0.07359738
Canada;2020/09/10;0.07727724
Canada;2020/09/11;0.07359738
Canada;2020/09/12;0.080957115
Canada;2020/09/13;0.080957115
Canada;2020/09/14;0.09567659
Canada;2020/09/15;0.09567659
Canada;2020/09/16;0.12143567
Canada;2020/09/17;0.12879542
Canada;2020/09/18;0.13983501
Canada;2020/09/19;0.13615514
Canada;2020/09/20;0.15087463
Canada;2020/09/21;0.15087463
Canada;2020/09/22;0.16927397
Canada;2020/09/23;0.18031357
Canada;2020/09/24;0.16927397
Canada;2020/09/25;0.18399344
Canada;2020/09/26;0.18031357
Canada;2020/09/27;0.18399344
Canada;2020/09/28;0.18767332
Canada;2020/09/29;0.18399344
Canada;2020/09/30;0.18031357
Canada;2020/10/01;0.20607266
Canada;2020/10/02;0.19503304
Canada;2020/10/03;0.25391096
Canada;2020/10/04;0.56301993
Canada;2020/10/05;0.7322939
Canada;2020/10/06;0.78381205
Canada;2020/10/07;0.8316504
Canada;2020/10/08;0.87948865
Canada;2020/10/09;0.897888
Canada;2020/10/10;0.86476916
Canada;2020/10/11;0.64397705
Canada;2020/10/12;0.53358096
Canada;2020/10/13;0.48206282
Canada;2020/10/14;0.45630375
Canada;2020/10/15;0.448944
Canada;2020/10/16;0.44526413
Canada;2020/10/17;0.5262213
Canada;2020/10/18;0.5004622
Canada;2020/10/19;0.5004622
Canada;2020/10/20;0.53358096
Canada;2020/10/21;0.5409407
Canada;2020/10/22;0.5078219
Canada;2020/10/23;0.59981865
Canada;2020/10/24;0.5924589
Canada;2020/10/25;0.59981865
Canada;2020/10/26;0.63293743
Canada;2020/10/27;0.6660563
Canada;2020/10/28;0.69917506
Canada;2020/10/29;0.7470134
Canada;2020/10/30;0.7212543
Canada;2020/10/31;0.75437313
Canada;2020/11/01;0.79485166
Canada;2020/11/02;0.7690926
Canada;2020/11/03;0.8390101
Canada;2020/11/04;0.83533025
Canada;2020/11/05;0.9935646
Canada;2020/11/06;1.1002808
Canada;2020/11/07;1.1113204
Canada;2020/11/08;1.1775581
Canada;2020/11/09;1.2842742
Canada;2020/11/10;1.2437956
Canada;2020/11/11;1.3026736
Canada;2020/11/12;1.291634
Canada;2020/11/13;1.2769145
